8,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,
13,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,
15,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,
20,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Up:Mid:,Mid:Mid:Up:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,
21,Mid:Mid:Mid:Mid:,Mid:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Up:Mid:,Mid:Up:Up:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,
34,Mid:Mid:Mid:Mid:,Up:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Up:Mid:,Mid:Up:Up:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Up:Mid:Mid:Mid:,
37,Mid:Mid:Mid:Mid:,Up:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Up:Mid:,Mid:Up:Up:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Down:,Up:Mid:Mid:Mid:,
39,Mid:Mid:Down:Mid:,Up:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Up:Mid:,Mid:Up:Up:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Down:,Up:Mid:Mid:Mid:,
41,Down:Mid:Down:Mid:,Up:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Up:Mid:,Mid:Up:Up:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Down:,Up:Mid:Mid:Mid:,
42,Down:Mid:Down:Mid:,Up:Up:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Up:Mid:,Mid:Down:Up:Mid:,Mid:Up:Up:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Down:,Up:Mid:Mid:Mid:,
43,Down:Mid:Down:Mid:,Up:Up:Mid:Mid:,Up:Mid:Mid:Mid:,Mid:Mid:Up:Mid:,Mid:Down:Up:Mid:,Mid:Up:Up:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Down:,Up:Mid:Mid:Mid:,
